,B/Plasma,Cancer Epithelial,Endothelial,Fibroblasts,Myeloid,PVL,T/NK Cells
KRT19,0.7457351934900338,14.561660527895294,0.39765598142880537,1.4271466238750865,0.489419563752151,1.3907088647849015,0.35172934409907797
KRT7,0.4680662632518507,4.7638558202216865,0.35305080816771167,0.6079753291960307,0.18266311382929298,0.6423169875766717,0.22348386923516347
KRT8,0.25487871506728166,6.7939573631369665,0.3254481510661375,0.5028773353642967,0.26107185606065025,0.8760068169649156,0.14858287526583167
LCK,0.5629624983407449,0.07577698854928797,0.03895322736337626,0.0675416075154499,0.09553280926959838,0.03506838266323483,3.1887509877455322
LHFPL6,0.04035403483924283,0.5040085597753217,1.1284115585810586,2.1384058084090114,0.02586831774178414,5.678730752626528,0.046263604532001845
LST1,0.5118537155461462,0.15937267415164938,0.13300079648086321,0.12428614364214452,4.672684108016307,0.049454119803776814,0.24623350217956916
LUM,0.3462311849279097,0.34032494216749853,0.28484357670116434,45.27566535709076,0.1872292193585669,0.7050622808776712,0.1111886109903738
LYZ,3.435666780277018,0.5738557649155022,0.3412548273100614,0.5131709335238331,31.329367930558703,0.2509807323557151,1.012801640112187
MAP1B,0.05262655837499798,0.7518223862728382,1.05081003696921,1.4822264872899904,0.026559190433314738,4.711082191643351,0.025068432498447958
MAP3K7CL,0.0651324575855277,0.28029480004179524,0.06332557784656725,0.1679960375548314,0.05871325786300029,2.5466873032091457,0.04328886519082578
MCAM,0.033268757265556656,0.4779262555398289,1.6589844902771373,0.5083553687716853,0.018915140377354284,5.60573420939951,0.0374648359992424
MFAP5,0.04376976404407071,0.1754162265806647,0.1322305082353024,8.601873906314072,0.04677456998870074,0.04934289008504899,0.020443955716773467
MFGE8,0.16645020565169516,1.750579702200573,0.42263583164887475,2.850125038280316,0.09233540383063363,7.591561820871608,0.26949026598724174
MGP,2.2333218323142843,100.03680268901462,11.844559688752645,22.854913604778595,1.5870449469652572,16.561190919560755,1.6539444183166958
MGST1,0.38865377159096864,4.330088440541908,0.18912149411989174,0.4531624982209371,0.41954016611305184,0.32872715758584914,0.17270501314508105
MMP11,0.11046796148941451,0.08661654795772973,0.0701717048452559,13.657752116794661,0.053492644567168644,0.4457869268586628,0.03643157825946591
MMP2,0.08489873263637222,0.10747186271171551,1.5979421474728919,8.471554601388052,0.32491098018179254,0.2360099643410726,0.03742826447835752
MS4A1,6.366579499322589,0.02777575767603531,0.01901957768030133,0.030044287208152307,0.029670414140287777,0.025892114453723723,0.1379195229177771
MS4A6A,0.7161157831967168,0.11351070894643839,0.10295363257510597,0.16077705283654814,6.765027666700759,0.02988570556228902,0.11456647226823782
MS4A7,0.45461707591733624,0.6795339598237624,0.11893914108183791,0.25969738019671285,4.493298328851533,0.045843961752345,0.051159151841442735
MT1E,0.28294041984003887,4.187383668626612,1.2226020778670192,2.9135842074508487,0.6717404585693111,9.611180108823376,0.5021659935527052
MT1M,0.041018992907902,1.040079681854166,0.9616652672222226,0.8395343366668275,0.15814555526783325,7.283841476473617,0.019427076083978867
MT2A,3.430116607848612,17.187764025485645,9.689626777193727,12.189040863903694,10.425733685692947,37.731239242002935,5.639844950079759
MUC1,0.03785948354788256,2.295965085641461,0.051972648573728054,0.35332728929894747,0.07802678495484135,0.25046460210173616,0.031953605282983445
MUCL1,3.2351357607143068,18.857487163554595,0.5303062834981688,2.3180571587688963,0.8783600179776605,0.7711516454658903,1.0787465515478325
MXRA5,0.0411875222674638,0.11321052903783296,0.060020694299293034,3.768055446678229,0.031688883830490344,0.19489664181083435,0.007729940125607064
MYH11,0.04595470646545226,1.232276277625606,0.04121510715248372,0.22392448060020334,0.012134058512311384,7.6196035648611184,0.02642485487809871
MYL9,0.2185269597137774,5.81572622396061,1.823504713452656,8.942583521420694,0.14932013116758927,39.4632184431768,0.07813251934372106
MYLK,0.04725527894265228,1.5887235082275055,0.778786970322803,1.6967132304563113,0.052907216239294404,7.254319884854595,0.03172570302009485
MZB1,7.3028917065626775,0.11802676301552308,0.02791954561064444,0.06992615210581717,0.03456588043351878,0.03605488472663997,0.1291908754997368
NDUFA4L2,0.06251616334135245,1.2986242006643085,0.2234433448511646,1.2194868563070624,0.025586781138649154,12.501633180174514,0.010243608485628473
NKG7,0.7792162396222119,0.11175761759006811,0.05776896382402471,0.128658485945569,0.26299833248882326,0.0670145413705458,19.719055441848763
NOTCH3,0.027586511162669282,0.6752320240199827,0.07447838885337632,1.1567542762091054,0.020393163331254332,5.501438600882105,0.01786861180075951
NPC2,3.7659992273270357,3.697180319895481,5.795318547393387,4.419768025516018,16.892406046459012,2.4185236063982454,0.8895440242859032
NPDC1,0.14153853920403398,1.1114191401988776,7.973198776132495,0.7226406263006877,0.09133050225343099,0.4995323237220522,0.2355131344541904
PALMD,0.041665989522762126,0.1720254399745566,3.7401615396928927,0.13368925715190874,0.010227707877151736,0.2010669715519142,0.009569096010543128
PCOLCE,0.07067435934310565,0.28388482906696927,0.12392682878457306,5.669058197265951,0.03926608050199714,2.9327528434782404,0.06088307789033738
PDGFRB,0.02577918795458091,0.2705501722003276,0.07668340172594061,2.7369546785994667,0.022063983041301534,6.21189347303986,0.11451512796621363
PDLIM1,0.9860605014850443,1.5584140246308005,6.523828149536366,0.9888273239752765,0.12058910444058747,3.286371693730995,0.16800241168827873
PECAM1,0.6551264847215679,0.09483674508820501,9.86163303604241,0.1346313148397834,1.053613753362632,0.10694047389401334,0.3122901606020497
PERP,0.27683125791837854,4.341120755091444,0.6654851933966429,0.822011595534683,0.130210886784632,0.7203611476963766,0.44701266329603073
PIP,0.23050120110168537,12.482075804126648,0.2055430706753465,0.4469675940035333,0.17282515758942554,0.3652111233233393,0.09745217424561561
PLAC9,0.03291464234148229,0.7554798374829123,0.8589533342708252,2.5309888005582564,0.014573250221889534,6.87673861363556,0.025928070020505727
PLAUR,0.43765480459163725,0.35018323550134856,0.3143104723408959,1.3932865283026883,4.932397148595098,0.2481065377691696,0.18144977647399985
PLN,0.006033917954391059,0.49998985028629744,0.013863985845847738,0.13567865644518923,0.0015529458112405552,3.492214300574754,0.005122146013814619
PLVAP,0.21303289461504255,0.13893856862266693,14.758043233815693,0.23119256862363705,0.0764585894033783,0.2242850052921223,0.04505113420664
PODXL,0.04886839266893655,0.1343024104411525,2.7183238154762726,0.07939277694669074,0.01899930490191545,0.10193879774737312,0.01768442009719663
POSTN,0.12403603788943413,0.1781933923637103,1.060033442871003,26.074749261826664,0.10225804595623623,0.8712421052780646,0.06741844901800136
PPP1R14A,0.15509408332643226,0.7941549687270578,0.6379230903620998,0.3649510867503636,0.06897398658643039,5.8017522103679315,0.0069064341835844475
